Survived,Pclass,Sex,Age,Fare,Embarked,FamilySize,Alone
0.0,3.0,1,22.0,7.25,Southampton,1,0
1.0,1.0,0,38.0,71.2833,Cheltenham,1,0
1.0,3.0,0,26.0,7.925,Southampton,0,1
1.0,1.0,0,35.0,53.1,Southampton,1,0
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,3.0,1,28.25,8.4583,Queenstown,0,1
0.0,1.0,1,42.0,51.8625,Southampton,0,1
0.0,3.0,1,2.0,21.075,Southampton,4,0
1.0,3.0,0,27.0,11.1333,Southampton,2,0
1.0,2.0,0,14.0,30.0708,Cheltenham,1,0
1.0,3.0,0,29.25,16.7,Southampton,2,0
1.0,1.0,0,58.0,26.55,Southampton,0,1
0.0,3.0,1,20.0,8.05,Southampton,0,1
0.0,3.0,1,39.0,31.275,Southampton,6,0
0.0,3.0,0,24.25,7.8542,Southampton,0,1
1.0,2.0,0,24.5,16.0,Southampton,0,1
0.0,3.0,1,2.0,29.125,Queenstown,5,0
1.0,2.0,1,28.5,13.0,Southampton,0,1
0.0,3.0,0,31.0,18.0,Southampton,1,0
1.0,3.0,0,19.0,7.225,Cheltenham,0,1
0.0,2.0,1,35.0,26.0,Southampton,0,1
1.0,2.0,1,28.5,13.0,Southampton,0,1
1.0,3.0,0,15.0,8.0292,Queenstown,0,1
1.0,1.0,1,28.0,35.5,Southampton,0,1
0.0,3.0,0,8.0,21.075,Southampton,4,0
1.0,3.0,0,38.0,31.3875,Southampton,6,0
0.0,3.0,1,31.375,7.225,Cheltenham,0,1
0.0,1.0,1,19.0,263.0,Southampton,5,0
1.0,3.0,0,22.75,7.8792,Queenstown,0,1
0.0,3.0,1,29.0,7.8958,Southampton,0,1
0.0,1.0,1,40.0,27.7208,Cheltenham,0,1
1.0,1.0,0,20.73,146.5208,Cheltenham,1,0
1.0,3.0,0,20.5,7.75,Queenstown,0,1
0.0,2.0,1,66.0,10.5,Southampton,0,1
0.0,1.0,1,28.0,82.1708,Cheltenham,1,0
0.0,1.0,1,42.0,52.0,Southampton,1,0
1.0,3.0,1,23.25,7.2292,Cheltenham,0,1
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,3.0,0,18.0,18.0,Southampton,2,0
1.0,3.0,0,14.0,11.2417,Cheltenham,1,0
0.0,3.0,0,25.0,9.475,Southampton,1,0
0.0,2.0,0,27.0,21.0,Southampton,1,0
0.0,3.0,1,29.0,7.8958,Cheltenham,0,1
1.0,2.0,0,3.0,41.5792,Cheltenham,3,0
1.0,3.0,0,19.0,7.8792,Queenstown,0,1
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,3.0,1,33.125,15.5,Queenstown,1,0
1.0,3.0,0,20.5,7.75,Queenstown,0,1
0.0,3.0,1,22.25,21.6792,Cheltenham,2,0
0.0,3.0,0,24.0,17.8,Southampton,1,0
0.0,3.0,1,7.0,39.6875,Southampton,5,0
0.0,3.0,1,21.0,7.8,Southampton,0,1
1.0,1.0,0,49.0,76.7292,Cheltenham,1,0
1.0,2.0,0,29.0,26.0,Southampton,1,0
0.0,1.0,1,65.0,61.9792,Cheltenham,1,0
1.0,1.0,1,40.75,35.5,Southampton,0,1
1.0,2.0,0,32.0,10.5,Southampton,0,1
0.0,3.0,1,21.0,7.2292,Cheltenham,0,1
1.0,2.0,0,32.75,27.75,Southampton,3,0
0.0,3.0,1,11.0,46.9,Southampton,7,0
0.0,3.0,1,22.0,7.2292,Cheltenham,0,1
1.0,1.0,0,38.0,80.0,,0,1
0.0,1.0,1,45.0,83.475,Southampton,1,0
0.0,3.0,1,4.0,27.9,Southampton,5,0
0.0,1.0,1,36.125,27.7208,Cheltenham,0,1
1.0,3.0,1,15.25,15.2458,Cheltenham,2,0
1.0,2.0,0,32.0,10.5,Southampton,0,1
0.0,3.0,1,19.0,8.1583,Southampton,0,1
1.0,3.0,0,22.75,7.925,Southampton,6,0
0.0,3.0,1,26.0,8.6625,Southampton,2,0
0.0,2.0,1,32.0,10.5,Southampton,0,1
0.0,3.0,0,19.25,46.9,Southampton,7,0
0.0,2.0,1,42.25,73.5,Southampton,0,1
0.0,3.0,1,26.0,14.4542,Cheltenham,1,0
1.0,3.0,1,32.0,56.4958,Southampton,0,1
0.0,3.0,1,25.0,7.65,Southampton,0,1
0.0,3.0,1,29.0,7.8958,Southampton,0,1
0.0,3.0,1,25.375,8.05,Southampton,0,1
1.0,2.0,1,0.83,29.0,Southampton,2,0
1.0,3.0,0,9.5,12.475,Southampton,0,1
0.0,3.0,1,22.0,9.0,Southampton,0,1
1.0,3.0,1,29.0,9.5,Southampton,0,1
1.0,3.0,0,20.5,7.7875,Queenstown,0,1
0.0,1.0,1,8.75,47.1,Southampton,0,1
1.0,2.0,0,17.0,10.5,Southampton,0,1
1.0,3.0,0,33.0,15.85,Southampton,3,0
0.0,3.0,1,16.0,34.375,Southampton,4,0
0.0,3.0,1,25.375,8.05,Southampton,0,1
1.0,1.0,0,23.0,263.0,Southampton,5,0
0.0,3.0,1,24.0,8.05,Southampton,0,1
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,3.0,1,20.0,7.8542,Southampton,0,1
0.0,1.0,1,46.0,61.175,Southampton,1,0
0.0,3.0,1,26.0,20.575,Southampton,3,0
0.0,3.0,1,59.0,7.25,Southampton,0,1
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,1.0,1,71.0,34.6542,Cheltenham,0,1
1.0,1.0,1,23.0,63.3583,Cheltenham,1,0
1.0,2.0,0,26.5,23.0,Southampton,1,0
0.0,2.0,1,40.5,26.0,Southampton,1,0
0.0,3.0,0,24.25,7.8958,Southampton,0,1
0.0,3.0,1,29.0,7.8958,Southampton,0,1
0.0,1.0,1,21.0,77.2875,Southampton,1,0
0.0,3.0,1,33.0,8.6542,Southampton,0,1
0.0,3.0,1,37.0,7.925,Southampton,2,0
0.0,3.0,1,28.0,7.8958,Southampton,0,1
1.0,3.0,0,21.0,7.65,Southampton,0,1
1.0,3.0,1,25.5,7.775,Southampton,0,1
0.0,3.0,1,38.0,7.8958,Southampton,0,1
1.0,3.0,0,25.75,24.15,Queenstown,1,0
0.0,1.0,1,47.0,52.0,Southampton,0,1
0.0,3.0,0,27.0,14.4542,Cheltenham,1,0
0.0,3.0,1,22.0,8.05,Southampton,0,1
0.0,3.0,0,20.0,9.825,Southampton,1,0
0.0,3.0,0,17.0,14.4583,Cheltenham,0,1
0.0,3.0,1,21.0,7.925,Southampton,0,1
0.0,3.0,1,70.5,7.75,Queenstown,0,1
0.0,2.0,1,22.25,21.0,Southampton,1,0
0.0,1.0,1,24.0,247.5208,Cheltenham,1,0
0.0,3.0,0,2.0,31.275,Southampton,6,0
0.0,2.0,1,21.0,73.5,Southampton,2,0
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,2.0,1,32.5,30.0708,Cheltenham,1,0
1.0,2.0,0,36.5,13.0,Southampton,0,1
0.0,1.0,1,54.0,77.2875,Southampton,1,0
1.0,3.0,1,12.0,11.2417,Cheltenham,1,0
0.0,3.0,1,43.5,7.75,Queenstown,0,1
1.0,3.0,1,24.0,7.1417,Southampton,0,1
1.0,3.0,0,26.0,22.3583,Cheltenham,2,0
0.0,3.0,1,45.0,6.975,Southampton,0,1
0.0,3.0,1,33.0,7.8958,Cheltenham,0,1
0.0,3.0,1,20.0,7.05,Southampton,0,1
0.0,3.0,0,27.0,14.5,Southampton,1,0
1.0,2.0,0,29.0,26.0,Southampton,1,0
0.0,2.0,1,25.0,13.0,Southampton,0,1
0.0,2.0,1,23.0,15.0458,Cheltenham,0,1
1.0,1.0,0,19.0,26.2833,Southampton,2,0
0.0,1.0,1,37.0,53.1,Southampton,1,0
0.0,3.0,1,16.0,9.2167,Southampton,0,1
0.0,1.0,1,24.0,79.2,Cheltenham,0,1
0.0,3.0,0,19.0,15.2458,Cheltenham,2,0
1.0,3.0,0,22.0,7.75,Southampton,0,1
1.0,3.0,0,24.0,15.85,Southampton,1,0
0.0,3.0,1,19.0,6.75,Queenstown,0,1
0.0,2.0,1,18.0,11.5,Southampton,0,1
0.0,2.0,1,24.0,36.75,Southampton,2,0
1.0,3.0,1,27.0,7.7958,Southampton,0,1
0.0,3.0,0,9.0,34.375,Southampton,4,0
0.0,2.0,1,40.5,26.0,Southampton,2,0
0.0,2.0,1,42.0,13.0,Southampton,0,1
0.0,2.0,1,51.0,12.525,Southampton,0,1
1.0,1.0,0,22.0,66.6,Southampton,1,0
0.0,3.0,1,25.375,8.05,Southampton,0,1
0.0,3.0,1,40.5,14.5,Southampton,2,0
0.0,3.0,1,33.0,7.3125,Southampton,0,1
0.0,1.0,1,51.0,61.3792,Cheltenham,1,0
1.0,3.0,0,16.0,7.7333,Queenstown,0,1
0.0,3.0,1,30.0,8.05,Southampton,0,1
0.0,3.0,1,24.0,8.6625,Southampton,0,1
0.0,3.0,1,42.0,69.55,Southampton,10,0
0.0,3.0,1,44.0,16.1,Southampton,1,0
1.0,2.0,0,40.0,15.75,Southampton,0,1
0.0,3.0,1,26.0,7.775,Southampton,0,1
0.0,3.0,1,17.0,8.6625,Southampton,0,1
0.0,3.0,1,9.75,39.6875,Southampton,5,0
1.0,3.0,1,9.0,20.525,Southampton,2,0
1.0,1.0,0,30.25,55.0,Southampton,1,0
0.0,3.0,0,14.0,27.9,Southampton,5,0
0.0,1.0,1,54.5,25.925,Southampton,0,1
0.0,3.0,1,28.0,56.4958,Southampton,0,1
0.0,1.0,1,61.0,33.5,Southampton,0,1
0.0,3.0,1,14.25,29.125,Queenstown,5,0
1.0,3.0,0,1.0,11.1333,Southampton,2,0
0.0,3.0,1,21.0,7.925,Southampton,0,1
0.0,1.0,1,56.0,30.6958,Cheltenham,0,1
0.0,3.0,1,29.25,7.8542,Southampton,2,0
0.0,3.0,1,26.75,25.4667,Southampton,4,0
0.0,1.0,0,50.0,28.7125,Cheltenham,0,1
0.0,2.0,1,30.0,13.0,Southampton,0,1
0.0,3.0,1,30.25,0.0,Southampton,0,1
0.0,3.0,0,42.0,69.55,Southampton,10,0
0.0,2.0,1,24.9175,15.05,Cheltenham,0,1
0.0,3.0,1,9.0,31.3875,Southampton,6,0
1.0,2.0,1,1.0,39.0,Southampton,3,0
1.0,3.0,0,4.0,22.025,Southampton,2,0
0.0,1.0,1,36.0,50.0,Southampton,0,1
1.0,3.0,0,21.75,15.5,Queenstown,1,0
1.0,1.0,1,45.0,26.55,Southampton,0,1
0.0,3.0,1,40.0,15.5,Queenstown,2,0
0.0,3.0,1,36.0,7.8958,Southampton,0,1
1.0,2.0,0,36.5,13.0,Southampton,0,1
0.0,2.0,1,19.0,13.0,Southampton,0,1
1.0,3.0,0,19.0,7.8542,Southampton,1,0
1.0,2.0,1,3.0,26.0,Southampton,2,0
1.0,1.0,0,44.0,27.7208,Cheltenham,0,1
1.0,1.0,0,58.0,146.5208,Cheltenham,0,1
0.0,3.0,1,43.5,7.75,Queenstown,0,1
0.0,3.0,1,42.0,8.4042,Southampton,1,0
